"날짜","종가","시가","고가","저가","거래량","변동 %"
"2025- 07- 25","7,834.58","7,782.39","7,851.46","7,759.59","59.05M","0.21%"
"2025- 07- 24","7,818.28","7,873.50","7,898.03","7,797.28","74.86M","-0.41%"
"2025- 07- 23","7,850.43","7,839.71","7,869.96","7,816.27","66.79M","1.37%"
"2025- 07- 22","7,744.41","7,775.04","7,782.66","7,726.74","47.03M","-0.69%"
"2025- 07- 21","7,798.22","7,825.73","7,838.61","7,757.68","47.49M","-0.31%"
"2025- 07- 18","7,822.67","7,857.69","7,873.30","7,815.23","51.24M","0.01%"
"2025- 07- 17","7,822.00","7,794.42","7,822.02","7,783.65","52.12M","1.29%"
"2025- 07- 16","7,722.09","7,740.15","7,778.13","7,722.09","64.25M","-0.57%"
"2025- 07- 15","7,766.21","7,818.09","7,836.13","7,766.21","48.69M","-0.54%"
"2025- 07- 14","7,808.17","7,774.04","7,810.55","7,764.80","40.41M","-0.27%"